path,category,bytes,git_first_commit,git_first_date,git_last_commit,git_last_date,in_tree_mar22,in_tree_mar24,processing_status,notes
.agent/.skills/assumption-validation/SKILL.md,agent_other,3408,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,y,y,unprocessed,
.agent/.skills/atlas-protocol/SKILL.md,agent_other,2952,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,6949f25f47e35ffa4949d84f64fa53ec9544ceae,2026-02-25T14:38:43-05:00,y,y,unprocessed,
.agent/.skills/atlas-protocol/templates/asset_inventory.md,agent_other,1121,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,y,y,unprocessed,
.agent/.skills/atlas-protocol/templates/event_matrix.md,agent_other,1360,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,y,y,unprocessed,
.agent/.skills/atlas-protocol/templates/functional_story.md,agent_other,1373,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,y,y,unprocessed,
.agent/.skills/atlas-protocol/templates/io_registry.md,agent_other,1363,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,y,y,unprocessed,
.agent/.skills/atlas-protocol/templates/physical_map.md,agent_other,921,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,y,y,unprocessed,
.agent/.skills/coding-standards/SKILL.md,agent_other,3070,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,y,y,unprocessed,
.agent/.skills/dart-method/SKILL.md,agent_other,2455,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,y,y,unprocessed,
.agent/.skills/learning-protocol/SKILL.md,agent_other,2740,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,y,y,unprocessed,
.agent/.skills/prism-architect/SKILL.md,agent_other,2836,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,6949f25f47e35ffa4949d84f64fa53ec9544ceae,2026-02-25T14:38:43-05:00,y,y,unprocessed,
.agent/.skills/README.md,agent_other,2006,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,y,y,unprocessed,
.agent/.skills/trigger-matrix/SKILL.md,agent_other,2798,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,y,y,unprocessed,
.agent/.skills/visual-telemetry/SKILL.md,agent_other,3683,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,e276a4729d6b0cf59c98f511f5d4bc3d21df8cec,2026-02-03T16:57:46-05:00,y,y,unprocessed,
.agent/AGENT.md,agent_other,11129,6949f25f47e35ffa4949d84f64fa53ec9544ceae,2026-02-25T14:38:43-05:00,7cc241983f70a26fbf96004e3bcc97568069e762,2026-04-08T14:52:40-04:00,y,y,unprocessed,
.agent/docs/_archive/CURRENT_OBJECTIVE_archived.md,docs_archive,766,3dc0d4793d8426b845f426d7f7f0d61353020e6a,2026-03-23T19:05:26-04:00,46ee5ed788cd339bd2da1bc0e5430f5da4be0f56,2026-03-27T11:37:53-04:00,n,n,unprocessed,
.agent/docs/_archive/CURRENT_SPRINT_archived.md,docs_archive,962,74b90fac16eac14942462fb0a3e46f2f0059d4af,2026-03-01T14:50:17-05:00,46ee5ed788cd339bd2da1bc0e5430f5da4be0f56,2026-03-27T11:37:53-04:00,n,n,unprocessed,
.agent/docs/_archive/diagnostics/border-fill-mismatch/00_README_PIPELINE_TRACE.md,docs_archive,4169,a9d3e8a27a99136304706f192b711d2fc0c121e5,2026-03-17T18:31:25-04:00,183ee9d1b4fa86d6f38ce996c9a2c427b185acb3,2026-03-25T16:17:17-04:00,n,n,unprocessed,
.agent/docs/_archive/diagnostics/border-fill-mismatch/2026-03-17 console logs 2.md,docs_archive,77751,a9d3e8a27a99136304706f192b711d2fc0c121e5,2026-03-17T18:31:25-04:00,183ee9d1b4fa86d6f38ce996c9a2c427b185acb3,2026-03-25T16:17:17-04:00,n,n,unprocessed,
.agent/docs/_archive/diagnostics/border-fill-mismatch/2026-03-17 console logs.md,docs_archive,49283,a9d3e8a27a99136304706f192b711d2fc0c121e5,2026-03-17T18:31:25-04:00,183ee9d1b4fa86d6f38ce996c9a2c427b185acb3,2026-03-25T16:17:17-04:00,n,n,unprocessed,
.agent/docs/_archive/diagnostics/border-fill-mismatch/IMPLEMENTATION_DIRECTIVE.md,docs_archive,6008,a9d3e8a27a99136304706f192b711d2fc0c121e5,2026-03-17T18:31:25-04:00,183ee9d1b4fa86d6f38ce996c9a2c427b185acb3,2026-03-25T16:17:17-04:00,n,n,unprocessed,
.agent/docs/_archive/F-138-ModifiedVoronoi/6th-approach.md,docs_archive,11657,18edc47e24aba3ca510866c8878d42714a471f2e,2026-03-03T22:00:47-05:00,183ee9d1b4fa86d6f38ce996c9a2c427b185acb3,2026-03-25T16:17:17-04:00,n,n,unprocessed,
.agent/docs/_archive/F-138-ModifiedVoronoi/APPROACH_COMPARISON.md,docs_archive,3972,18edc47e24aba3ca510866c8878d42714a471f2e,2026-03-03T22:00:47-05:00,183ee9d1b4fa86d6f38ce996c9a2c427b185acb3,2026-03-25T16:17:17-04:00,n,n,unprocessed,
